subject,file,link,lineno,NOC,NOFF,NOO,experience-based,statistics-based,tuning machine,smell
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/alignments/jobs.py,https://github.com/deepfakes/faceswap/blame/master/tools/alignments/jobs.py#L1022,1022,54,2,10,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/alignments/jobs.py,https://github.com/deepfakes/faceswap/blame/master/tools/alignments/jobs.py#L1157,1157,73,1,11,1,0,0,True
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/alignments/jobs.py,https://github.com/deepfakes/faceswap/blame/master/tools/alignments/jobs.py#L1159,1159,49,1,9,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/restore/restore.py,https://github.com/deepfakes/faceswap/blame/master/tools/restore/restore.py#L34,34,74,2,11,1,0,0,True
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/restore/restore.py,https://github.com/deepfakes/faceswap/blame/master/tools/restore/restore.py#L35,35,66,2,11,1,0,0,True
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/plugin_loader.py,https://github.com/deepfakes/faceswap/blame/master/plugins/plugin_loader.py#L184,184,181,2,33,1,1,1,True
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/plugin_loader.py,https://github.com/deepfakes/faceswap/blame/master/plugins/plugin_loader.py#L203,203,179,2,33,1,1,1,True
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/plugin_loader.py,https://github.com/deepfakes/faceswap/blame/master/plugins/plugin_loader.py#L243,243,181,2,33,1,1,1,True
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/train/_config.py,https://github.com/deepfakes/faceswap/blame/master/plugins/train/_config.py#L30,30,58,2,7,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/train/model/_base.py,https://github.com/deepfakes/faceswap/blame/master/plugins/train/model/_base.py#L181,181,65,1,13,1,0,0,True
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/train/model/_base.py,https://github.com/deepfakes/faceswap/blame/master/plugins/train/model/_base.py#L217,217,43,1,7,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/train/model/_base.py,https://github.com/deepfakes/faceswap/blame/master/plugins/train/model/_base.py#L279,279,84,1,15,1,0,0,True
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/train/model/_base.py,https://github.com/deepfakes/faceswap/blame/master/plugins/train/model/_base.py#L296,296,59,2,8,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/train/model/_base.py,https://github.com/deepfakes/faceswap/blame/master/plugins/train/model/_base.py#L322,322,43,1,8,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/train/model/_base.py,https://github.com/deepfakes/faceswap/blame/master/plugins/train/model/_base.py#L342,342,95,1,16,1,0,0,True
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/train/model/_base.py,https://github.com/deepfakes/faceswap/blame/master/plugins/train/model/_base.py#L410,410,46,1,8,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/train/model/_base.py,https://github.com/deepfakes/faceswap/blame/master/plugins/train/model/_base.py#L492,492,85,2,15,1,0,0,True
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/train/model/_base.py,https://github.com/deepfakes/faceswap/blame/master/plugins/train/model/_base.py#L548,548,78,1,14,1,0,0,True
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/train/model/_base.py,https://github.com/deepfakes/faceswap/blame/master/plugins/train/model/_base.py#L556,556,28,1,4,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/train/model/_base.py,https://github.com/deepfakes/faceswap/blame/master/plugins/train/model/_base.py#L560,560,45,1,10,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/train/model/_base.py,https://github.com/deepfakes/faceswap/blame/master/plugins/train/model/_base.py#L593,593,65,1,11,1,0,0,True
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/train/model/_base.py,https://github.com/deepfakes/faceswap/blame/master/plugins/train/model/_base.py#L700,700,61,2,10,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/train/model/_base.py,https://github.com/deepfakes/faceswap/blame/master/plugins/train/model/_base.py#L929,929,54,2,9,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/train/model/_base.py,https://github.com/deepfakes/faceswap/blame/master/plugins/train/model/_base.py#L938,938,57,1,7,0,0,0,False
